location_id,latitude,longitude
1,17.2,78.2
9,17.2,78.24
17,17.2,78.28
25,17.2,78.32
33,17.2,78.36
41,17.2,78.4
49,17.2,78.44
57,17.2,78.48
65,17.2,78.52
73,17.2,78.56
81,17.2,78.6
89,17.2,78.64
97,17.2,78.68
105,17.205,78.22
113,17.205,78.26
121,17.205,78.3
129,17.205,78.34
137,17.205,78.38
145,17.205,78.42
153,17.205,78.46
161,17.205,78.5
169,17.205,78.54
177,17.205,78.58
185,17.205,78.62
193,17.205,78.66
201,17.21,78.2
209,17.21,78.24
217,17.21,78.28
225,17.21,78.32
233,17.21,78.36
241,17.21,78.4
249,17.21,78.44
257,17.21,78.48
265,17.21,78.52
273,17.21,78.56
281,17.21,78.6
289,17.21,78.64
297,17.21,78.68
305,17.215,78.22
313,17.215,78.26
321,17.215,78.3
329,17.215,78.34
337,17.215,78.38
345,17.215,78.42
353,17.215,78.46
361,17.215,78.5
369,17.215,78.54
377,17.215,78.58
385,17.215,78.62
393,17.215,78.66
401,17.22,78.2
409,17.22,78.24
417,17.22,78.28
425,17.22,78.32
433,17.22,78.36
441,17.22,78.4
449,17.22,78.44
457,17.22,78.48
465,17.22,78.52
473,17.22,78.56
481,17.22,78.6
489,17.22,78.64
497,17.22,78.68
505,17.225,78.22
513,17.225,78.26
521,17.225,78.3
529,17.225,78.34
537,17.225,78.38
545,17.225,78.42
553,17.225,78.46
561,17.225,78.5
569,17.225,78.54
577,17.225,78.58
585,17.225,78.62
593,17.225,78.66
601,17.23,78.2
609,17.23,78.24
617,17.23,78.28
625,17.23,78.32
633,17.23,78.36
641,17.23,78.4
649,17.23,78.44
657,17.23,78.48
665,17.23,78.52
673,17.23,78.56
681,17.23,78.6
689,17.23,78.64
697,17.23,78.68
705,17.235,78.22
713,17.235,78.26
721,17.235,78.3
729,17.235,78.34
737,17.235,78.38
745,17.235,78.42
753,17.235,78.46
761,17.235,78.5
769,17.235,78.54
777,17.235,78.58
785,17.235,78.62
793,17.235,78.66
801,17.24,78.2
809,17.24,78.24
817,17.24,78.28
825,17.24,78.32
833,17.24,78.36
841,17.24,78.4
849,17.24,78.44
857,17.24,78.48
865,17.24,78.52
873,17.24,78.56
881,17.24,78.6
889,17.24,78.64
897,17.24,78.68
905,17.245,78.22
913,17.245,78.26
921,17.245,78.3
929,17.245,78.34
937,17.245,78.38
945,17.245,78.42
953,17.245,78.46
961,17.245,78.5
969,17.245,78.54
977,17.245,78.58
985,17.245,78.62
993,17.245,78.66
1001,17.25,78.2
1009,17.25,78.24
1017,17.25,78.28
1025,17.25,78.32
1033,17.25,78.36
1041,17.25,78.4
1049,17.25,78.44
1057,17.25,78.48
1065,17.25,78.52
1073,17.25,78.56
1081,17.25,78.6
1089,17.25,78.64
1097,17.25,78.68
1105,17.255,78.22
1113,17.255,78.26
1121,17.255,78.3
1129,17.255,78.34
1137,17.255,78.38
1145,17.255,78.42
1153,17.255,78.46
1161,17.255,78.5
1169,17.255,78.54
1177,17.255,78.58
1185,17.255,78.62
1193,17.255,78.66
1201,17.26,78.2
1209,17.26,78.24
1217,17.26,78.28
1225,17.26,78.32
1233,17.26,78.36
1241,17.26,78.4
1249,17.26,78.44
1257,17.26,78.48
1265,17.26,78.52
1273,17.26,78.56
1281,17.26,78.6
1289,17.26,78.64
1297,17.26,78.68
1305,17.265,78.22
1313,17.265,78.26
1321,17.265,78.3
1329,17.265,78.34
1337,17.265,78.38
1345,17.265,78.42
1353,17.265,78.46
1361,17.265,78.5
1369,17.265,78.54
1377,17.265,78.58
1385,17.265,78.62
1393,17.265,78.66
1401,17.27,78.2
1409,17.27,78.24
1417,17.27,78.28
1425,17.27,78.32
1433,17.27,78.36
1441,17.27,78.4
1449,17.27,78.44
1457,17.27,78.48
1465,17.27,78.52
1473,17.27,78.56
1481,17.27,78.6
1489,17.27,78.64
1497,17.27,78.68
1505,17.275,78.22
1513,17.275,78.26
1521,17.275,78.3
1529,17.275,78.34
