location_id,latitude,longitude,elevation,slope,built_up,rainfall,road_density,risk_score,risk_level,priority
3353,17.365,78.46,500.0,0.133,88.41159355852928,93.90595639097702,0.9841159355852928,88.9,Very High,1
3761,17.385,78.5,484.0,0.24,89.7880321015056,91.88972444162191,0.9978803210150561,88.37,Very High,2
3449,17.37,78.44,492.0,0.378,87.02180162556202,94.58438383159046,0.9702180162556202,87.9,Very High,3
3553,17.375,78.46,507.0,0.2,88.96425038273274,93.90595639097702,0.9896425038273274,87.67,Very High,4
3657,17.38,78.48,498.0,0.313,89.89932463072887,93.00002243586103,0.9989932463072887,87.26,Very High,5
3665,17.38,78.52,483.0,0.15,88.63503073217655,90.60342545155716,0.9863503073217654,87.17,Very High,6
4457,17.42,78.48,513.0,0.06,87.68571505369063,93.00002243586103,0.9768571505369062,86.37,Very High,7
3961,17.395,78.5,490.0,0.394,89.6012955392134,91.88972444162191,0.996012955392134,86.13,Very High,8
3457,17.37,78.48,501.0,0.389,89.52576269067909,93.00002243586103,0.9952576269067908,86.0,Very High,9
3545,17.375,78.42,513.0,0.229,84.67251265862565,95.01797403480373,0.9467251265862564,85.76,Very High,10
3769,17.385,78.54,473.0,0.185,86.66724961120424,89.17398453065434,0.9666724961120424,85.48,Very High,11
3345,17.365,78.42,511.0,0.3,84.15192346342735,95.01797403480373,0.9415192346342734,85.13,Very High,12
3753,17.385,78.46,507.0,0.525,89.14939233970776,93.90595639097702,0.9914939233970776,84.9,Very High,13
2857,17.34,78.48,520.0,0.052,86.24644146398015,93.00002243586103,0.9624644146398015,84.78,Very High,14
3057,17.35,78.48,517.0,0.188,87.68571505369063,93.00002243586103,0.9768571505369062,84.72,Very High,15
3857,17.39,78.48,509.0,0.449,89.89932463072894,93.00002243586103,0.9989932463072894,84.61,Very High,16
4257,17.41,78.48,512.0,0.34,88.78421896193694,93.00002243586103,0.9878421896193694,84.6,Very High,17
3153,17.355,78.46,510.0,0.421,87.49966009728324,93.90595639097702,0.9749966009728324,84.58,Very High,18
3249,17.36,78.44,506.0,0.515,86.30517272570307,94.58438383159046,0.9630517272570307,84.48,Very High,19
4657,17.43,78.48,513.0,0.206,86.24644146398072,93.00002243586103,0.9624644146398071,84.35,Very High,20
4057,17.4,78.48,507.0,0.492,89.52576269067929,93.00002243586103,0.9952576269067928,84.3,Very High,21
3441,17.37,78.4,504.0,0.352,81.12804071944953,95.19565075102334,0.9112804071944953,84.27,Very High,22
3041,17.35,78.4,514.0,0.126,79.49533357669235,95.19565075102334,0.8949533357669235,84.1,Very High,23
3465,17.37,78.52,491.0,0.373,88.26777448425236,90.60342545155716,0.9826777448425236,83.96,Very High,24
3265,17.36,78.52,495.0,0.276,87.53874794730542,90.60342545155716,0.9753874794730543,83.92,Very High,25
3257,17.36,78.48,513.0,0.438,88.7842189619366,93.00002243586103,0.9878421896193661,83.61,Very High,26
3161,17.355,78.5,513.0,0.275,88.12409091450193,91.88972444162191,0.9812409091450194,83.38,Very High,27
3537,17.375,78.38,515.0,0.058,77.35412779456061,95.11287515155512,0.8735412779456062,83.37,Very High,28
3049,17.35,78.44,511.0,0.54,85.24357700754892,94.58438383159046,0.9524357700754893,83.06,Very High,29
3673,17.38,78.56,475.0,0.123,83.77889048659254,87.63791736654338,0.9377889048659255,82.45,Very High,30
3241,17.36,78.4,517.0,0.332,80.47005572044908,95.19565075102334,0.9047005572044908,82.39,Very High,31
3065,17.35,78.52,495.0,0.389,86.4587866867479,90.60342545155716,0.964587866867479,82.37,Very High,32
3745,17.385,78.42,518.0,0.574,84.8469118484266,95.01797403480373,0.9484691184842661,82.15,Very High,33
4265,17.41,78.52,517.0,0.158,87.53874794730574,90.60342545155716,0.9753874794730574,82.05,Very High,34
2841,17.34,78.4,515.0,0.276,78.21824040635022,95.19565075102334,0.8821824040635022,81.99,Very High,35
4857,17.44,78.48,521.0,0.253,84.48736055656654,93.00002243586103,0.9448736055656655,81.98,Very High,36
3849,17.39,78.44,530.0,0.511,87.38281240854184,94.58438383159046,0.9738281240854184,81.89,Very High,37
4161,17.405,78.5,499.0,0.723,89.0438787485231,91.88972444162191,0.990438787485231,81.76,Very High,38
3169,17.355,78.54,498.0,0.14,85.07274197359848,89.17398453065434,0.9507274197359848,81.75,Very High,39
3937,17.395,78.38,527.0,0.103,77.35412779456072,95.11287515155512,0.8735412779456073,81.39,Very High,40
3369,17.365,78.54,496.0,0.288,85.95414856283267,89.17398453065434,0.9595414856283266,81.16,Very High,41
3361,17.365,78.5,519.0,0.5,89.04387874852284,91.88972444162191,0.9904387874852284,81.07,Very High,42
3865,17.39,78.52,494.0,0.699,88.63503073217662,90.60342545155716,0.9863503073217661,80.89,Very High,43
3561,17.375,78.5,495.0,0.916,89.60129553921325,91.88972444162191,0.9960129553921326,80.87,Very High,44
4753,17.435,78.46,530.0,0.378,84.65690776360344,93.90595639097702,0.9465690776360344,80.86,Very High,45
2849,17.34,78.44,521.0,0.569,83.85266099112012,94.58438383159046,0.9385266099112011,80.77,Very High,46
5057,17.45,78.48,522.0,0.261,82.43369869019524,93.00002243586103,0.9243369869019524,80.73,Very High,47
3841,17.39,78.4,535.0,0.311,81.45950890294715,95.19565075102334,0.9145950890294714,80.7,Very High,48
4953,17.445,78.46,526.0,0.352,82.7674420281707,93.90595639097702,0.927674420281707,80.65,Very High,49
2745,17.335,78.42,533.0,0.305,80.61510138759319,95.01797403480373,0.9061510138759318,80.37,Very High,50
2865,17.34,78.52,507.0,0.359,85.04380790646046,90.60342545155716,0.9504380790646046,80.33,Very High,51
3873,17.39,78.56,477.0,0.343,83.7788904865926,87.63791736654338,0.937788904865926,80.25,Very High,52
2665,17.33,78.52,502.0,0.361,83.31442012737904,90.60342545155716,0.9331442012737903,80.09,Very High,53
2953,17.345,78.46,516.0,0.773,86.241953079553,93.90595639097702,0.96241953079553,80.04,Very High,54
3633,17.38,78.36,510.0,0.232,72.97528931885557,94.77176177495001,0.8297528931885557,79.86,Very High,55
2657,17.33,78.48,519.0,0.527,84.48736055656587,93.00002243586103,0.9448736055656588,79.84,Very High,56
3569,17.375,78.54,487.0,0.604,86.48830526081434,89.17398453065434,0.9648830526081434,79.84,Very High,57
4561,17.425,78.5,524.0,0.439,86.85555141811163,91.88972444162191,0.9685555141811164,79.83,Very High,58
2353,17.315,78.46,533.0,0.219,80.6004052509105,93.90595639097702,0.906004052509105,79.79,Very High,59
3953,17.395,78.46,524.0,0.851,88.96425038273287,93.90595639097702,0.9896425038273287,79.69,Very High,60
4065,17.4,78.52,510.0,0.592,88.26777448425256,90.60342545155716,0.9826777448425255,79.52,Very High,61
4361,17.415,78.5,518.0,0.646,88.12409091450233,91.88972444162191,0.9812409091450233,79.45,Very High,62
3945,17.395,78.42,535.0,0.645,84.67251265862576,95.01797403480373,0.9467251265862577,79.18,Very High,63
2641,17.33,78.4,520.0,0.43,76.65737648930312,95.19565075102334,0.8665737648930312,79.18,Very High,64
2969,17.345,78.54,501.0,0.323,83.8571365595381,89.17398453065434,0.9385713655953811,79.12,Very High,65
3649,17.38,78.44,520.0,0.985,87.38281240854178,94.58438383159046,0.9738281240854177,79.04,Very High,66
4553,17.425,78.46,525.0,0.753,86.24195307955351,93.90595639097702,0.9624195307955351,79.03,Very High,67
4041,17.4,78.4,541.0,0.399,81.12804071944971,95.19565075102334,0.9112804071944971,78.96,Very High,68
4153,17.405,78.46,537.0,0.722,88.41159355852953,93.90595639097702,0.9841159355852953,78.82,Very High,69
3737,17.385,78.38,532.0,0.332,77.51020813317851,95.11287515155512,0.875102081331785,78.79,Very High,70
3977,17.395,78.58,469.0,0.212,80.086026113329,86.0344634604297,0.90086026113329,78.66,Very High,71
2961,17.345,78.5,521.0,0.637,86.85555141811113,91.88972444162191,0.9685555141811113,78.49,Very High,72
2553,17.325,78.46,552.0,0.217,82.76744202816998,93.90595639097702,0.9276744202816998,78.4,Very High,73
2737,17.335,78.38,524.0,0.281,73.72290607949697,95.11287515155512,0.8372290607949695,78.37,Very High,74
2945,17.345,78.42,559.0,0.258,82.1081752613712,95.01797403480373,0.921081752613712,78.11,Very High,75
4273,17.41,78.56,489.0,0.355,82.75490621099398,87.63791736654338,0.9275490621099398,78.03,Very High,76
3777,17.385,78.58,472.0,0.256,80.24894474204471,86.0344634604297,0.902489447420447,77.96,Very High,77
4073,17.4,78.56,487.0,0.438,83.43585433918663,87.63791736654338,0.9343585433918664,77.91,Very High,78
2649,17.33,78.44,531.0,0.648,82.15268273416562,94.58438383159046,0.9215268273416563,77.88,Very High,79
3969,17.395,78.54,490.0,0.793,86.48830526081447,89.17398453065434,0.9648830526081447,77.78,Very High,80
4465,17.42,78.52,516.0,0.621,86.4587866867479,90.60342545155716,0.964587866867479,77.55,Very High,81
2345,17.315,78.42,551.0,0.133,76.79397535436993,95.01797403480373,0.8679397535436992,77.55,Very High,82
5249,17.46,78.44,546.0,0.215,77.92659406869286,94.58438383159046,0.8792659406869286,77.55,Very High,83
3473,17.37,78.56,481.0,0.573,83.43585433918645,87.63791736654338,0.9343585433918645,77.52,Very High,84
4169,17.405,78.54,502.0,0.619,85.95414856283293,89.17398453065434,0.9595414856283293,77.46,Very High,85
2561,17.325,78.5,539.0,0.281,83.3511148226312,91.88972444162191,0.9335111482263121,77.45,Very High,86
5257,17.46,78.48,530.0,0.401,80.11434469353298,93.00002243586103,0.9011434469353299,77.26,Very High,87
5153,17.455,78.46,536.0,0.471,80.60040525091131,93.90595639097702,0.9060040525091131,77.18,Very High,88
3641,17.38,78.4,529.0,0.805,81.45950890294708,95.19565075102334,0.9145950890294708,77.14,Very High,89
