location_id,latitude,longitude,elevation,slope
1,17.2,78.2,593.0,0.188
9,17.2,78.24,585.0,0.517
17,17.2,78.28,563.0,0.407
25,17.2,78.32,583.0,0.509
33,17.2,78.36,593.0,0.279
41,17.2,78.4,591.0,0.369
49,17.2,78.44,624.0,0.413
57,17.2,78.48,579.0,0.203
65,17.2,78.52,576.0,0.401
73,17.2,78.56,554.0,0.522
81,17.2,78.6,536.0,0.316
89,17.2,78.64,519.0,0.258
97,17.2,78.68,553.0,0.9
105,17.205,78.22,597.0,0.151
113,17.205,78.26,580.0,0.191
121,17.205,78.3,566.0,0.282
129,17.205,78.34,603.0,0.612
137,17.205,78.38,595.0,0.476
145,17.205,78.42,601.0,0.601
153,17.205,78.46,599.0,0.539
161,17.205,78.5,586.0,0.523
169,17.205,78.54,567.0,0.313
177,17.205,78.58,539.0,0.237
185,17.205,78.62,534.0,0.423
193,17.205,78.66,533.0,0.448
201,17.21,78.2,590.0,0.348
209,17.21,78.24,576.0,0.449
217,17.21,78.28,570.0,0.313
225,17.21,78.32,585.0,0.385
233,17.21,78.36,598.0,0.127
241,17.21,78.4,584.0,0.387
249,17.21,78.44,616.0,0.291
257,17.21,78.48,581.0,0.456
265,17.21,78.52,570.0,0.484
273,17.21,78.56,547.0,0.365
281,17.21,78.6,530.0,0.171
289,17.21,78.64,514.0,0.413
297,17.21,78.68,539.0,0.514
305,17.215,78.22,598.0,0.401
313,17.215,78.26,581.0,0.285
321,17.215,78.3,560.0,0.27
329,17.215,78.34,580.0,0.911
337,17.215,78.38,577.0,0.363
345,17.215,78.42,617.0,0.432
353,17.215,78.46,599.0,0.424
361,17.215,78.5,566.0,0.575
369,17.215,78.54,564.0,0.485
377,17.215,78.58,540.0,0.204
385,17.215,78.62,520.0,0.532
393,17.215,78.66,525.0,0.587
401,17.22,78.2,582.0,0.292
409,17.22,78.24,570.0,0.485
417,17.22,78.28,571.0,0.265
425,17.22,78.32,582.0,0.271
433,17.22,78.36,589.0,0.444
441,17.22,78.4,582.0,0.399
449,17.22,78.44,614.0,0.152
457,17.22,78.48,592.0,0.689
465,17.22,78.52,558.0,0.265
473,17.22,78.56,550.0,0.275
481,17.22,78.6,537.0,0.271
489,17.22,78.64,503.0,0.02
497,17.22,78.68,536.0,0.605
505,17.225,78.22,583.0,0.688
513,17.225,78.26,569.0,0.516
521,17.225,78.3,558.0,0.229
529,17.225,78.34,568.0,0.316
537,17.225,78.38,582.0,0.161
545,17.225,78.42,600.0,0.552
553,17.225,78.46,606.0,0.257
561,17.225,78.5,567.0,0.581
569,17.225,78.54,550.0,0.223
577,17.225,78.58,538.0,0.311
585,17.225,78.62,518.0,0.435
593,17.225,78.66,516.0,0.967
601,17.23,78.2,583.0,0.433
609,17.23,78.24,559.0,0.355
617,17.23,78.28,564.0,0.196
625,17.23,78.32,578.0,0.207
633,17.23,78.36,581.0,0.354
641,17.23,78.4,581.0,0.382
649,17.23,78.44,611.0,0.07
657,17.23,78.48,600.0,0.567
665,17.23,78.52,561.0,0.413
673,17.23,78.56,542.0,0.271
681,17.23,78.6,529.0,0.282
689,17.23,78.64,514.0,0.851
697,17.23,78.68,522.0,1.851
705,17.235,78.22,573.0,0.582
713,17.235,78.26,561.0,0.369
721,17.235,78.3,554.0,0.234
729,17.235,78.34,568.0,0.335
737,17.235,78.38,571.0,0.412
745,17.235,78.42,603.0,0.496
753,17.235,78.46,604.0,0.172
761,17.235,78.5,578.0,1.121
769,17.235,78.54,559.0,0.485
777,17.235,78.58,550.0,0.312
785,17.235,78.62,531.0,1.014
793,17.235,78.66,489.0,0.411
801,17.24,78.2,566.0,0.414
809,17.24,78.24,558.0,0.164
817,17.24,78.28,565.0,0.123
825,17.24,78.32,577.0,0.305
833,17.24,78.36,576.0,0.181
841,17.24,78.4,575.0,0.42
849,17.24,78.44,612.0,0.241
857,17.24,78.48,606.0,0.363
865,17.24,78.52,571.0,0.498
873,17.24,78.56,559.0,0.303
881,17.24,78.6,541.0,0.544
889,17.24,78.64,534.0,0.929
897,17.24,78.68,467.0,1.258
905,17.245,78.22,562.0,0.409
913,17.245,78.26,555.0,0.245
921,17.245,78.3,552.0,0.164
929,17.245,78.34,555.0,0.491
937,17.245,78.38,566.0,0.335
945,17.245,78.42,592.0,0.516
953,17.245,78.46,601.0,0.209
961,17.245,78.5,606.0,0.59
969,17.245,78.54,567.0,0.231
